"New Hampshire"
2013
"NEIWPCC- http://neiwpcc.org/our-programs/wetlands-aquatic-species/nebawwg/nqa/"
"New Hampshire  , 2013"

"Total Species:",2225
"Native Species:",1574
"Non-native Species:",651
"Total Mean C:",3.4
"Native Mean C:",4.9

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Rhinanthus minor",,RHMI13,native,8,,,,"little yellow rattle"
"Rhinanthus minor ssp. groenlandicus",,RHMIG,native,4,,,,"arctic rattlebox"
"Rhododendron canadense",,RHCA6,native,7,,,,rhodora
"Rhododendron lapponicum",,RHLA2,native,10,,,,"lapland rosebay"
"Rhododendron maximum",,RHMA4,native,7,,,,"great laurel"
"Rhododendron periclymenoides",,RHPE4,native,6,,,,"pink azalea"
"Rhododendron prinophyllum",,RHPR,native,6,,,,"early azalea"
"Rhododendron viscosum",,RHVI2,native,6,,,,"swamp azalea"
"Rhodotypos scandens",,RHSC3,non-native,0,,,,jetbead
"Rhus aromatica",,RHAR4,native,3,,,,"fragrant sumac"
"Rhus copallinum",,RHCO,native,2,,,,"winged sumac"
"Rhus glabra",,RHGL,native,2,,,,"smooth sumac"
"Rhus typhina",,RHTY,native,2,,,,"staghorn sumac"
"Rhynchospora alba",,RHAL3,native,5,,,,"white beaksedge"
"Rhynchospora capillacea",,RHCA11,native,8,,,,"needle beaksedge"
"Rhynchospora capitellata",,RHCA12,native,5,,,,"brownish beaksedge"
"Rhynchospora fusca",,RHFU,native,7,,,,"brown beaksedge"
"Ribes americanum",,RIAM2,native,5,,,,"american black currant"
"Ribes cynosbati",,RICY,native,7,,,,"eastern prickly gooseberry"
"Ribes glandulosum",,RIGL,native,7,,,,"skunk currant"
"Ribes hirtellum",,RIHI,native,4,,,,"hairystem gooseberry"
"Ribes lacustre",,RILA,native,7,,,,"prickly currant"
"Ribes nigrum",,RINI,non-native,0,,,,"european black currant"
"Ribes rubrum",,RIRU80,non-native,0,,,,"cultivated currant"
"Ribes triste",,RITR,native,7,,,,"red currant"
"Ribes uva-crispa",,RIUV80,non-native,0,,,,"european gooseberry"
"Ricinus communis",,RICO3,non-native,0,,,,castorbean
"Robinia hispida",,ROHI,non-native,0,,,,"bristly locust"
"Robinia pseudoacacia",,ROPS,non-native,0,,,,"black locust"
"Robinia viscosa",,ROVI,non-native,0,,,,"clammy locust"
"Rorippa austriaca",,ROAU,non-native,0,,,,"austrian yellowcress"
"Rorippa palustris",,ROPA2,native,4,,,,"bog yellowcress"
"Rorippa palustris ssp. fernaldiana",,ROPAF2,native,4,,,,"fernalds yellowcress"
"Rorippa palustris ssp. hispida",,ROPAH,native,4,,,,"hispid yellowcress"
"Rorippa sylvestris",,ROSY,non-native,0,,,,"creeping yellowcress"
"Rosa acicularis",,ROAC,native,3,,,,"prickly rose"
"Rosa blanda",,ROBL,native,3,,,,"smooth rose"
"Rosa carolina",,ROCA4,native,3,,,,"carolina rose"
"Rosa cinnamomea",,ROCI,non-native,0,,,,"cinnamon rose"
"Rosa eglanteria",,ROEG,non-native,0,,,,"sweetbriar rose"
"Rosa gallica",,ROGA,non-native,0,,,,"french rose"
"Rosa multiflora",,ROMU,non-native,0,,,,"multiflora rose"
"Rosa nitida",,RONI,native,6,,,,"shining rose"
"Rosa palustris",,ROPA,native,6,,,,"swamp rose"
"Rosa rugosa",,RORU,non-native,0,,,,"rugosa rose"
"Rosa setigera",,ROSE2,non-native,0,,,,"climbing rose"
"Rosa spinosissima",,ROSP2,non-native,0,,,,"scotch rose"
"Rosa virginiana",,ROVI2,native,2,,,,"virginia rose"
"Rotala ramosior",,RORA,native,7,,,,"lowland rotala"
"Rubus aculiferus",,RUAC5,native,2,,,,"thorny dewberry"
"Rubus adjacens",,RUAD2,native,2,,,,"peaty dewberry"
"Rubus allegheniensis",,RUAL,native,2,,,,"allegheny blackberry"
"Rubus allegheniensis var. gravesii",,RUALG,native,2,,,,"graves blackberry"
"Rubus alter",,RUAL8,native,2,,,,"maine dewberry"
"Rubus alumnus",,RUAL9,native,2,,,,"oldfield blackberry"
"Rubus arenicola",,RUAR7,native,2,,,,"sanddwelling dewberry"
"Rubus canadensis",,RUCA16,native,2,,,,"smooth blackberry"
"Rubus chamaemorus",,RUCH,native,9,,,,cloudberry
"Rubus cuneifolius",,RUCU,native,2,,,,"sand blackberry"
"Rubus elegantulus",,RUEL2,native,2,,,,"showy blackberry"
"Rubus flagellaris",,RUFL,native,2,,,,"northern dewberry"
"Rubus fraternalis",,RUFR2,native,2,,,,"northeastern dewberry"
"Rubus frondisentis",,RUFR3,native,2,,,,"leafy blackberry"
"Rubus frondosus",,RUFR4,native,2,,,,"yankee blackberry"
"Rubus hispidus",,RUHI,native,2,,,,"bristly dewberry"
"Rubus idaeus",,RUID,non-native,0,,,,"american red raspberry"
"Rubus idaeus ssp. strigosus",,RUIDS2,native,2,,,,"grayleaf red raspberry"
"Rubus insons",,RUIN3,native,2,,,,"new england blackberry"
"Rubus invisus",,RUIN5,native,2,,,,"upland dewberry"
"Rubus jacens",,RUJA,native,2,,,,"spreading dewberry"
"Rubus junceus",,RUJU2,native,2,,,,"herbaceous blackberry"
"Rubus notatus",,RUNO2,native,2,,,,"bristle berry"
"Rubus occidentalis",,RUOC,native,2,,,,"black raspberry"
"Rubus odoratus",,RUOD,native,4,,,,"purpleflowering raspberry"
"Rubus pensilvanicus",,RUPE3,native,2,,,,"pennsylvania blackberry"
"Rubus pergratus",,RUPE6,native,2,,,,"upland blackberry"
"Rubus permixtus",,RUPE7,native,2,,,,"thicket dewberry"
"Rubus plicatifolius",,RUPL,native,2,,,,"plaitleaf dewberry"
"Rubus pubescens",,RUPU,native,4,,,,"dwarf red blackberry"
"Rubus recurvans",,RURE,native,2,,,,"recurved blackberry"
"Rubus recurvicaulis",,RURE2,native,2,,,,"arching dewberry"
"Rubus regionalis",,RURE3,native,2,,,,"wisconsin dewberry"
"Rubus rosa",,RURO3,native,2,,,,"rose blackberry"
"Rubus sceleratus",,RUSC2,native,2,,,,"androscoggin river blackberry"
"Rubus semisetosus",,RUSE3,native,2,,,,"swamp blackberry"
"Rubus setosus",,RUSE,native,2,,,,"setose blackberry"
"Rubus severus",,RUSE4,native,2,,,,"harsh dewberry"
"Rubus tholiformis",,RUTH,native,2,,,,"domeshape dewberry"
"Rubus trifrons",,RUTR4,native,2,,,,"threeleaflet dewberry"
"Rubus vermontanus",,RUVE5,native,2,,,,"vermont blackberry"
"Rudbeckia hirta",,RUHI2,non-native,0,,,,"blackeyed susan"
"Rudbeckia laciniata",,RULA3,native,6,,,,"cutleaf coneflower"
"Rumex acetosa",,RUAC2,non-native,0,,,,"garden sorrel"
"Rumex acetosella",,RUAC3,non-native,0,,,,"common sheep sorrel"
"Rumex altissimus",,RUAL4,non-native,0,,,,"pale dock"
"Rumex crispus",,RUCR,non-native,0,,,,"curly dock"
"Rumex longifolius",,RULO2,non-native,0,,,,"dooryard dock"
"Rumex maritimus",,RUMA4,non-native,0,,,,"golden dock"
"Rumex mexicanus",,RUME2,non-native,0,,,,"mexican dock"
"Rumex obtusifolius",,RUOB,non-native,0,,,,"bitter dock"
"Rumex orbiculatus",,RUOR2,native,3,,,,"greater water dock"
"Rumex orbiculatus var. borealis",,RUORB,native,3,,,,"greater water dock"
"Rumex pallidus",,RUPA4,native,8,,,,"seaside dock"
"Rumex patientia",,RUPA5,non-native,0,,,,"patience dock"
"Rumex salicifolius",,RUSA,non-native,0,,,,"willow dock"
"Rumex salicifolius var. mexicanus",,RUME2,non-native,0,,,,"mexican dock"
"Rumex triangulivalvis",,RUTR3,non-native,0,,,,"mexican dock"
"Ruppia maritima",,RUMA5,native,9,,,,widgeongrass
"Sagina nodosa",,SANO,native,6,,,,"knotted pearlwort"
"Sagina procumbens",,SAPR,native,2,,,,"birdeye pearlwort"
"Sagittaria calycina",,SAMOC2,native,8,,,,"hooded arrowhead"
"Sagittaria cuneata",,SACU,native,5,,,,"arumleaf arrowhead"
"Sagittaria graminea",,SAGR,native,6,,,,"grassy arrowhead"
"Sagittaria latifolia",,SALA2,native,4,,,,"broadleaf arrowhead"
"Sagittaria rigida",,SARI,native,5,,,,"sessilefruit arrowhead"
"Salicornia bigelovii",,SABI,native,8,,,,"dwarf saltwort"
"Salicornia depressa",,SADE10,native,5,,,,"virginia glasswort"
"Salix alba",,SAAL2,non-native,0,,,,"white willow"
"Salix argyrocarpa",,SAAR7,native,9,,,,"labrador willow"
"Salix bebbiana",,SABE2,native,3,,,,"bebb willow"
"Salix discolor",,SADI,native,3,,,,"pussy willow"
"Salix eriocephala",,SAER,native,3,,,,"missouri river willow"
"Salix fragilis",,SAFR,non-native,0,,,,"crack willow"
"Salix herbacea",,SAHE2,native,9,,,,"dwarf willow"
"Salix humilis",,SAHU2,native,4,,,,"prairie willow"
"Salix lucida",,SALU,native,5,,,,"shining willow"
"Salix nigra",,SANI,native,7,,,,"black willow"
"Salix pedicellaris",,SAPE2,native,7,,,,"bog willow"
"Salix pellita",,SAPE3,native,7,,,,"satiny willow"
"Salix pentandra",,SAPE4,non-native,0,,,,"laurel willow"
"Salix petiolaris",,SAPE5,native,3,,,,"meadow willow"
"Salix planifolia",,SAPL2,native,9,,,,"diamondleaf willow"
"Salix purpurea",,SAPU2,non-native,0,,,,"purpleosier willow"
"Salix pyrifolia",,SAPY,native,3,,,,"balsam willow"
"Salix sericea",,SASE,native,3,,,,"silky willow"
"Salix uva-ursi",,SAUV,native,8,,,,"bearberry willow"
"Salix viminalis",,SAVI2,non-native,0,,,,"basket willow"
"Salsola kali",,SAKA,native,6,,,,"russian thistle"
"Salsola tragus",,SATR12,non-native,0,,,,"prickly russian thistle"
"Sambucus nigra",,SANI4,native,5,,,,"black elderberry"
"Sambucus nigra ssp. canadensis",,SANIC4,native,6,,,,"american black elderberry"
"Sambucus racemosa",,SARA2,native,6,,,,"red elderberry"
"Samolus valerandi",,SAVA3,native,7,,,,"seaside brookweed"
"Samolus valerandi ssp. parviflorus",,SAVAP,native,9,,,,"seaside brookweed"
"Sanguinaria canadensis",,SACA13,native,6,,,,bloodroot
"Sanguisorba canadensis",,SACA14,native,6,,,,"canadian burnet"
"Sanicula canadensis",,SACA15,native,7,,,,"canadian blacksnakeroot"
"Sanicula marilandica",,SAMA2,native,8,,,,"maryland sanicle"
"Sanicula odorata",,SAOD,native,8,,,,"clustered blacksnakeroot"
"Sanicula trifoliata",,SATR4,native,7,,,,"largefruit blacksnakeroot"
"Saponaria officinalis",,SAOF4,non-native,0,,,,bouncingbet
"Saponaria pumilio",,SAPU13,non-native,0,,,,"pygmy pink"
"Sarcocornia perennis",,SAPE11,native,7,,,,chickenclaws
"Sarracenia purpurea",,SAPU4,native,8,,,,"purple pitcherplant"
"Sassafras albidum",,SAAL5,native,4,,,,sassafras
"Saxifraga cernua",,SACE2,native,10,,,,"nodding saxifrage"
"Saxifraga hyperborea",,SAHY,native,8,,,,"pygmy saxifrage"
"Saxifraga paniculata",,SAPA14,native,10,,,,"white mountain saxifrage"
"Saxifraga paniculata ssp. neogaea",,SAPAN,native,10,,,,"white mountain saxifrage"
"Saxifraga pensylvanica",,SAPE8,native,8,,,,"eastern swamp saxifrage"
"Saxifraga virginiensis",,SAVI5,native,8,,,,"early saxifrage"
"Schedonorus phoenix",,SCPH,non-native,0,,,,"tall fescue"
"Schedonorus pratensis",,SCPR4,non-native,0,,,,"meadow fescue"
"Scheuchzeria palustris",,SCPA2,native,9,,,,rannoch-rush
"Schizachne purpurascens",,SCPU,native,4,,,,"false melic"
"Schizachyrium scoparium",,SCSC,native,2,,,,"little bluestem"
"Schoenoplectus acutus",,SCAC3,native,5,,,,"hardstem bulrush"
"Schoenoplectus acutus var. acutus",,SCACA,native,5,,,,"hardstem bulrush"
"Schoenoplectus maritimus",,BOMA7,native,7,,,,"cosmopolitan bulrush"
"Schoenoplectus pungens",,SCPU10,native,6,,,,"common threesquare"
"Schoenoplectus pungens var. pungens",,SCPUP5,native,6,,,,"common threesquare"
"Schoenoplectus purshianus",,SCPU13,native,6,,,,"weakstalk bulrush"
"Schoenoplectus robustus",,BORO5,native,7,,,,"sturdy bulrush"
"Schoenoplectus smithii",,SCSM2,native,4,,,,"smiths bulrush"
"Schoenoplectus subterminalis",,SCSU10,native,7,,,,"swaying bulrush"
"Schoenoplectus tabernaemontani",,SCTA2,native,6,,,,"softstem bulrush"
"Schoenoplectus torreyi",,SCTO3,native,6,,,,"torreys bulrush"
"Scilla siberica",,SCSI2,non-native,0,,,,"siberian squill"
"Scirpus ancistrochaetus",,SCAN5,native,5,,,,"barbedbristle bulrush"
"Scirpus atrocinctus",,SCAT4,native,4,,,,"blackgirdle bulrush"
"Scirpus atrovirens",,SCAT2,native,4,,,,"green bulrush"
"Scirpus cyperinus",,SCCY,native,3,,,,woolgrass
"Scirpus expansus",,SCEX,native,4,,,,"woodland bulrush"
"Scirpus georgianus",,SCGE2,native,5,,,,"georgia bulrush"
"Scirpus hattorianus",,SCHA3,native,5,,,,"mosquito bulrush"
"Scirpus longii",,SCLO,native,6,,,,"longs bulrush"
"Scirpus microcarpus",,SCMI2,native,3,,,,"panicled bulrush"
"Scirpus pedicellatus",,SCPE3,native,5,,,,"stalked bulrush"
"Scirpus pendulus",,SCPE4,native,5,,,,"rufous bulrush"
"Scirpus polyphyllus",,SCPO2,native,5,,,,"leafy bulrush"
"Scleranthus annuus",,SCAN2,non-native,0,,,,"german knotgrass"
"Scleria pauciflora",,SCPA5,native,7,,,,"fewflower nutrush"
"Scleria pauciflora var. caroliniana",,SCPAC,native,4,,,,"carolina nutrush"
"Scleria reticularis",,SCRE,native,8,,,,"netted nutrush"
"Sclerolepis uniflora",,SCUN3,native,7,,,,"pink bogbutton"
"Scrophularia lanceolata",,SCLA,native,2,,,,"lanceleaf figwort"
"Scrophularia marilandica",,SCMA2,native,2,,,,"carpenters square"
"Scutellaria galericulata",,SCGA,native,2,,,,"marsh skullcap"
"Scutellaria lateriflora",,SCLA2,non-native,0,,,,"blue skullcap"
"Secale cereale",,SECE,non-native,0,,,,"cereal rye"
"Securigera varia",,SEVA4,non-native,0,,,,crownvetch
"Sedum acre",,SEAC,non-native,0,,,,"goldmoss stonecrop"
"Sedum kamtschaticum",,SEKA,non-native,0,,,,"orange stonecrop"
"Sedum sarmentosum",,SESA,non-native,0,,,,"stringy stonecrop"
"Sedum sexangulare",,SESE6,non-native,0,,,,"tasteless stonecrop"
"Selaginella apoda",,SEAP,native,2,,,,"meadow spikemoss"
"Selaginella rupestris",,SERU,native,3,,,,"northern selaginella"
"Senecio viscosus",,SEVI2,non-native,0,,,,"sticky ragwort"
"Senecio vulgaris",,SEVU,non-native,0,,,,old-man-in-the-spring
"Senna hebecarpa",,SEHE3,native,2,,,,"american senna"
"Sericocarpus asteroides",,SEAS3,native,4,,,,"toothed whitetop aster"
"Sericocarpus linifolius",,SELI5,native,4,,,,"narrowleaf whitetop aster"
"Setaria faberi",,SEFA,non-native,0,,,,"japanese bristlegrass"
"Setaria italica",,SEIT,non-native,0,,,,"foxtail bristlegrass"
"Setaria pumila",,SEPU8,non-native,0,,,,"yellow foxtail"
"Setaria pumila ssp. pumila",,SEPU8,non-native,0,,,,"yellow foxtail"
"Setaria verticillata",,SEVE3,non-native,0,,,,"hooked bristlegrass"
"Setaria viridis",,SEVI4,non-native,0,,,,"green bristlegrass"
"Sibbaldia procumbens",,SIPR,native,10,,,,"creeping sibbaldia"
"Sibbaldiopsis tridentata",,SITR3,native,4,,,,"shrubby fivefingers"
"Sicyos angulatus",,SIAN,native,3,,,,"oneseed bur cucumber"
"Silene acaulis",,SIAC,native,10,,,,"moss campion"
"Silene antirrhina",,SIAN2,native,2,,,,"sleepy silene"
"Silene armeria",,SIAR,non-native,0,,,,"sweet william silene"
"Silene caroliniana",,SICA6,native,2,,,,"sticky catchfly"
"Silene caroliniana ssp. pensylvanica",,SICAP,native,2,,,,"pennsylvania catchfly"
"Silene csereii",,SICS,non-native,0,,,,"balkan catchfly"
"Silene dichotoma",,SIDI2,non-native,0,,,,"forked catchfly"
"Silene dioica",,SIDI4,non-native,0,,,,"red catchfly"
"Silene gallica",,SIGA,non-native,0,,,,"common catchfly"
"Silene latifolia",,SILA21,non-native,0,,,,"bladder campion"
"Silene noctiflora",,SINO,non-native,0,,,,"nightflowering silene"
"Silene vulgaris",,SIVU,non-native,0,,,,maidenstears
"Silybum marianum",,SIMA3,non-native,0,,,,"blessed milkthistle"
"Sinapis alba",,SIAL5,non-native,0,,,,"white mustard"
"Sinapis arvensis",,SIAR4,non-native,0,,,,"charlock mustard"
"Sinapis arvensis ssp. arvensis",,SIARA,non-native,0,,,,"wild mustard"
"Sisymbrium altissimum",,SIAL2,non-native,0,,,,"tall tumblemustard"
"Sisymbrium loeselii",,SILO3,non-native,0,,,,"small tumbleweed mustard"
"Sisyrinchium angustifolium",,SIAN3,native,2,,,,"narrowleaf blue-eyed grass"
"Sisyrinchium atlanticum",,SIAT,native,2,,,,"eastern blue-eyed grass"
"Sisyrinchium montanum",,SIMO2,native,2,,,,"strict blue-eyed grass"
"Sisyrinchium mucronatum",,SIMU3,native,2,,,,"needletip blue-eyed grass"
"Sium carsonii",,SICA12,native,3,,,,"carsons waterparsnip"
"Sium suave",,SISU2,native,3,,,,"hemlock waterparsnip"
"Smilax herbacea",,SMHE,native,5,,,,"smooth carrionflower"
"Smilax rotundifolia",,SMRO,native,5,,,,"roundleaf greenbrier"
"Smilax tamnoides",,SMTA2,native,5,,,,"bristly greenbrier"
"Solanum carolinense",,SOCA3,non-native,0,,,,"carolina horsenettle"
"Solanum dulcamara",,SODU,non-native,0,,,,"climbing nightshade"
"Solanum lycopersicum",,SOLY2,non-native,0,,,,"garden tomato"
"Solanum nigrum",,SONI,native,3,,,,"black nightshade"
"Solanum physalifolium",,SOPH,non-native,0,,,,"hoe nightshade"
"Solanum ptycanthum",,SOPT7,native,3,,,,"west indian nightshade"
"Solanum rostratum",,SORO,non-native,0,,,,"buffalobur nightshade"
"Solanum tuberosum",,SOTU,non-native,0,,,,"irish potato"
"Solanum villosum",,SOVI8,non-native,0,,,,"hairy nightshade"
"Solidago altissima",,SOAL6,native,3,,,,"canada goldenrod"
"Solidago arguta",,SOAR,native,3,,,,"atlantic goldenrod"
"Solidago bicolor",,SOBI,native,4,,,,"white goldenrod"
"Solidago caesia",,SOCA4,native,6,,,,"wreath goldenrod"
"Solidago canadensis",,SOCA6,native,2,,,,"canada goldenrod"
"Solidago canadensis var. hargeri",,SOCAH,native,2,,,,"hargers goldenrod"
"Solidago cutleri",,SOCU2,native,9,,,,"cutlers alpine goldenrod"
"Solidago flexicaulis",,SOFL2,native,7,,,,"zigzag goldenrod"
"Solidago gigantea",,SOGI,native,3,,,,"giant goldenrod"
"Solidago hispida",,SOHI,native,5,,,,"hairy goldenrod"
"Solidago juncea",,SOJU,native,2,,,,"early goldenrod"
"Solidago macrophylla",,SOMA4,native,7,,,,"largeleaf goldenrod"
"Solidago nemoralis",,SONE,native,3,,,,"gray goldenrod"
"Solidago odora",,SOOD,native,4,,,,"anise scented goldenrod"
"Solidago patula",,SOPA2,native,7,,,,"roundleaf goldenrod"
"Solidago puberula",,SOPU,native,4,,,,"downy goldenrod"
"Solidago rugosa",,SORU2,native,2,,,,"wrinkleleaf goldenrod"
"Solidago sempervirens",,SOSE,native,7,,,,"seaside goldenrod"
"Solidago simplex",,SOSI3,native,7,,,,"mt. albert goldenrod"
"Solidago simplex ssp. randii",,SOSIR,native,7,,,,"rands goldenrod"
"Solidago speciosa",,SOSP2,native,3,,,,"showy goldenrod"
"Solidago squarrosa",,SOSQ,native,2,,,,"stout goldenrod"
"Solidago uliginosa",,SOUL,native,7,,,,"bog goldenrod"
"Solidago ulmifolia",,SOUL2,native,2,,,,"elmleaf goldenrod"
"Sonchus arvensis",,SOAR2,non-native,0,,,,"field sowthistle"
"Sonchus asper",,SOAS,non-native,0,,,,"spiny sowthistle"
"Sonchus oleraceus",,SOOL,non-native,0,,,,"common sowthistle"
"Sorbus americana",,SOAM3,native,5,,,,"american mountain ash"
"Sorbus aucuparia",,SOAU,non-native,0,,,,"european mountain ash"
"Sorbus decora",,SODE3,native,5,,,,"northern mountain ash"
"Sorbus groenlandica",,SOGR2,native,5,,,,"greenland mountain ash"
"Sorbus hybrida",,SOHY3,non-native,0,,,,"oaskleaf mountain ash"
"Sorghastrum nutans",,SONU2,native,2,,,,indiangrass
"Sorghum bicolor",,SOBI2,non-native,0,,,,sorghum
"Sorghum bicolor ssp. bicolor",,SOBI2,non-native,0,,,,sorghum
"Sorghum halepense",,SOHA,non-native,0,,,,johnsongrass
"Sparganium americanum",,SPAM,native,3,,,,"american bur-reed"
"Sparganium androcladum",,SPAN,native,5,,,,"branched bur-reed"
"Sparganium angustifolium",,SPAN2,native,5,,,,"narrowleaf bur-reed"
"Sparganium emersum",,SPEM2,native,5,,,,"european bur-reed"
"Sparganium eurycarpum",,SPEU,native,6,,,,"broadfruit bur-reed"
"Sparganium fluctuans",,SPFL,native,5,,,,"floating bur-reed"
"Sparganium natans",,SPNA,native,5,,,,"small bur-reed"
"Spartina alterniflora",,SPAL,native,7,,,,"smooth cordgrass"
"Spartina patens",,SPPA,native,7,,,,"saltmeadow cordgrass"
"Spartina pectinata",,SPPE,native,7,,,,"prairie cordgrass"
"Spergula arvensis",,SPAR,non-native,0,,,,"corn spurry"
"Spergularia canadensis",,SPCA3,native,8,,,,"canadian sandspurry"
"Spergularia rubra",,SPRU,non-native,0,,,,"red sandspurry"
"Spergularia salina",,SPSA5,native,8,,,,"salt sandspurry"
"Sphenopholis intermedia",,SPIN3,native,4,,,,"slender wedgescale"
"Sphenopholis obtusata",,SPOB,native,4,,,,"prairie wedgescale"
"Spiraea alba",,SPAL2,native,3,,,,"white meadowsweet"
"Spiraea alba var. latifolia",,SPALL,native,3,,,,"white meadowsweet"
"Spiraea japonica",,SPJA,non-native,0,,,,"japanese meadowsweet"
"Spiraea japonica var. fortunei",,SPJAF,non-native,0,,,,"fortune meadowsweet"
"Spiraea septentrionalis",,SPSE,native,3,,,,"northern meadowsweet"
"Spiraea tomentosa",,SPTO2,native,4,,,,steeplebush
"Spiranthes casei",,SPCA6,native,3,,,,"cases ladys tresses"
"Spiranthes cernua",,SPCE,native,4,,,,"nodding ladys tresses"
"Spiranthes lacera",,SPLA4,native,4,,,,"northern slender ladys tresses"
"Spiranthes lucida",,SPLU2,native,6,,,,"shining ladys tresses"
"Spiranthes ochroleuca",,SPOC,native,2,,,,"yellow nodding ladys tresses"
"Spiranthes romanzoffiana",,SPRO,native,4,,,,"hooded ladys tresses"
"Spiranthes vernalis",,SPVE,native,4,,,,"spring ladys tresses"
"Spirodela polyrrhiza",,SPPO,native,5,,,,"common duckmeat"
"Sporobolus cryptandrus",,SPCR,native,3,,,,"sand dropseed"
"Sporobolus neglectus",,SPNE2,native,3,,,,"puffsheath dropseed"
"Sporobolus vaginiflorus",,SPVA,native,2,,,,"poverty dropseed"
"Stachys hyssopifolia",,STHY3,native,2,,,,"hyssopleaf hedgenettle"
"Stachys palustris",,STPA,non-native,0,,,,"marsh hedgenettle"
"Stachys pilosa",,STPI6,native,2,,,,"hairy hedgenettle"
"Stachys tenuifolia",,STTE,non-native,0,,,,"smooth hedgenettle"
"Staphylea trifolia",,STTR,native,7,,,,"american bladdernut"
"Stellaria alsine",,STAL4,native,4,,,,"bog chickweed"
"Stellaria borealis",,STBO3,native,6,,,,"boreal starwort"
"Stellaria graminea",,STGR,non-native,0,,,,"grass-like starwort"
"Stellaria longifolia",,STLO,native,3,,,,"longleaf starwort"
"Stellaria media",,STME2,non-native,0,,,,"common chickweed"
"Stenaria nigricans",,STNI6,non-native,0,,,,diamond-flowers
"Stenaria nigricans var. nigricans",,STNIN,non-native,0,,,,diamondflowers
"Streptopus amplexifolius",,STAM2,native,7,,,,"claspleaf twistedstalk"
"Stuckenia filiformis",,STFI6,native,8,,,,"fineleaf pondweed"
"Stuckenia pectinata",,STPE15,native,7,,,,"sago pondweed"
"Suaeda calceoliformis",,SUCA2,native,8,,,,"pursh seepweed"
"Suaeda linearis",,SULI,native,8,,,,"annual seepweed"
"Suaeda maritima",,SUMA,native,8,,,,"herbaceous seepweed"
"Suaeda maritima ssp. richii",,SUMAR,native,8,,,,"richs seepweed"
"Subularia aquatica",,SUAQ,native,8,,,,waterawlwort
"Subularia aquatica var. americana",,SUAQA2,native,8,,,,"american waterawlwort"
"Symphoricarpos albus",,SYAL,non-native,0,,,,"common snowberry"
"Symphyotrichum boreale",,SYBO2,native,7,,,,"northern bog aster"
"Symphyotrichum ciliolatum",,SYCI,native,3,,,,"lindleys aster"
"Symphyotrichum cordifolium",,SYCO4,native,2,,,,"common blue wood aster"
"Symphyotrichum dumosum",,SYDU2,native,2,,,,"rice button aster"
"Symphyotrichum dumosum var. dumosum",,SYDUD2,native,2,,,,"rice button aster"
"Symphyotrichum ericoides",,SYER,native,3,,,,"white heath aster"
"Symphyotrichum ericoides var. ericoides",,SYERE,native,3,,,,"white heath aster"
"Symphyotrichum laeve",,SYLA3,native,3,,,,"smooth blue aster"
"Symphyotrichum lanceolatum",,SYLA6,native,2,,,,"white panicle aster"
"Symphyotrichum lanceolatum ssp. lanceolatum var. lanceolatum",,SYLAL4,native,2,,,,"white panicle aster"
"Symphyotrichum lateriflorum",,SYLA4,native,3,,,,"calico aster"
"Symphyotrichum lateriflorum var. lateriflorum",,SYLAL7,native,3,,,,"calico aster"
"Symphyotrichum novae-angliae",,SYNO2,native,2,,,,"new england aster"
"Symphyotrichum novi-belgii",,SYNO3,native,3,,,,"new york aster"
"Symphyotrichum novi-belgii var. novi-belgii",,SYNON,native,3,,,,"new york aster"
"Symphyotrichum novi-belgii var. villicaule",,SYNOV,native,3,,,,"hairy new york aster"
"Symphyotrichum patens",,SYPA11,native,7,,,,"late purple aster"
"Symphyotrichum pilosum",,SYPI2,native,2,,,,"hairy white oldfield aster"
"Symphyotrichum pilosum var. pringlei",,SYPIP2,native,2,,,,"pringles aster"
"Symphyotrichum puniceum",,SYPU,native,4,,,,"purplestem aster"
"Symphyotrichum puniceum var. puniceum",,SYPUP,native,4,,,,"purplestem aster"
"Symphyotrichum subulatum",,SYSU5,native,8,,,,"eastern annual saltmarsh aster"
"Symphyotrichum tenuifolium",,SYTE6,native,9,,,,"perennial saltmarsh aster"
"Symphyotrichum tradescantii",,SYTR,native,4,,,,"shore aster"
"Symphyotrichum undulatum",,SYUN,native,2,,,,"wavyleaf aster"
"Symphyotrichum urophyllum",,SYUR,native,3,,,,"white arrowleaf aster"
"Symphytum officinale",,SYOF,non-native,0,,,,"common comfrey"
"Symplocarpus foetidus",,SYFO,native,6,,,,"skunk cabbage"
"Syringa reticulata",,SYRE2,non-native,0,,,,"japanese tree lilac"
"Syringa vulgaris",,SYVU,non-native,0,,,,"common lilac"
"Tanacetum balsamita",,TABA,non-native,0,,,,costmary
"Tanacetum parthenium",,TAPA6,non-native,0,,,,feverfew
"Tanacetum vulgare",,TAVU,non-native,0,,,,"common tansy"
"Taraxacum laevigatum",,TALA2,non-native,0,,,,"rock dandelion"
"Taraxacum officinale",,TAOF,non-native,0,,,,"common dandelion"
"Taxus canadensis",,TACA7,native,6,,,,"canada yew"
"Tephrosia virginiana",,TEVI,native,3,,,,"virginia tephrosia"
"Teucrium canadense",,TECA3,native,7,,,,"canada germander"
"Teucrium canadense var. occidentale",,TECAO,native,4,,,,"western germander"
"Thalictrum dioicum",,THDI,native,5,,,,"early meadow-rue"
"Thalictrum pubescens",,THPU2,native,4,,,,"king of the meadow"
"Thalictrum revolutum",,THRE,native,6,,,,"waxyleaf meadow-rue"
