Acronym,Scientific Name (NWPL/Mohlenbrock/Wilhelm & Rericha),Scientific Name Synonym             (Swink & Wilhelm/ Wilhelm & Rericha),Common Name           (NWPL/Mohlenbrock/Wilhelm & Rericha),Common Name          Synonym                  (Swink & Wilhelm/ Wilhelm & Rericha),Author,Midwest Region Wetland Indicator,NC-NE Region Wetland Indicator,Coefficient of Conservatism,Wetness Coefficient,Habit,Duration  ,Nativity,Scientific Family Name,Common Family Name
ACENIG,Acer nigrum,Acer nigrum,Black Maple,BLACK MAPLE,Michx. f.,FACU,FACU,5,1,Tree,Perennial,Native,ACERACEAE,Maple Family
ACEPLA,Acer platanoides,ACER PLATANOIDES,Norway Maple,NORWAY MAPLE,L.,UPL,UPL,0,2,Tree,Perennial,Adventive,ACERACEAE,Maple Family
ACEPSE,Acer pseudoplatanus,ACER PSEUDOPLATANUS,Sycamore Maple,SYCAMORE MAPLE,L.,UPL,UPL,0,2,Tree,Perennial,Adventive,ACERACEAE,Maple Family
ACERUB,Acer rubrum,Acer rubrum,Red Maple,RED MAPLE,L.,FAC,FAC,5,0,Tree,Perennial,Native,ACERACEAE,Maple Family
ACESAI,Acer saccharinum,Acer saccharinum,Silver Maple,SILVER MAPLE,L.,FACW,FACW,1,-1,Tree,Perennial,Native,ACERACEAE,Maple Family
ACESAU,Acer saccharum,Acer saccharum,Sugar Maple,SUGAR MAPLE,Marsh.,FACU,FACU,5,1,Tree,Perennial,Native,ACERACEAE,Maple Family
ACEFRE,Acer X freemanii,ACER X FREEMANII,Freeman's Maple,Freeman's Maple ,A.E. Murray,UPL,UPL,0,2,Tree,Perennial,Native,ACERACEAE,Maple Family
ACHFIL,Achillea filipendulina ,ACHILLEA FILIPENDULINA ,Fern-Leaf Yarrow,Fern-Leaf Yarrow,Lam.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
ACHMIL,Achillea millefolium,ACHILLEA MILLEFOLIUM,Common Yarrow,YARROW,L.,FACU,FACU,0,1,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
ACHMILR,Achillea millefolium cult. roseum,ACHILLEA MILLEFOLIUM CULT. ROSEUM,Rose Yarrow,Rose Yarrow,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
ACHPTA,Achillea ptarmica,ACHILLEA PTARMICA,Pearl Yarrow,SNEEZEWORT,L.,UPL,FACU,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
ACIARV,Acinos arvensis,ACINOS ARVENSIS,Mother-Of-Thyme,Mother-Of-Thyme,(Lam.) Dandy,UPL,UPL,0,2,Forb,Perennial,Adventive,LAMIACEAE,Mint Family
ACMAME,Acmispon americanus,ACMISPON AMERICANUS,American Deerweed,American Deer Vetch ,(Nutt.) Rydb.,FACU,FACU,0,1,Forb,Annual,Adventive,FABACEAE,Pea Family
ACOUNC,Aconitum uncinatum,ACONITUM UNCINATUM,Wild Monkshood,MONKSHOOD,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,RANUNCULACEAE,Buttercup Family
ACOAME,Acorus americanus,Acorus americanus,Several-Vein Sweetflag,American Sweet Flag ,(Raf.) Raf.,OBL,OBL,9,-2,Forb,Perennial,Native,ACORACEAE,Sweet Flag Family
ACOCAL,Acorus calamus,Acorus calamus,Single-Vein Sweetflag,SWEET FLAG,L.,OBL,OBL,0,-2,Forb,Perennial,Adventive,ACORACEAE,Sweet Flag Family
ACRREP,Acroptilon repens,CENTAUREA REPENS,Russian Knapweed,RUSSIAN KNAPWEED,(L.) DC.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
CENREP,Acroptilon repens,CENTAUREA REPENS,Russian Knapweed,RUSSIAN KNAPWEED,(L.) DC.,UPL,UPL,0,2,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
ACTPAC,Actaea pachypoda,Actaea pachypoda,White Baneberry,WHITE BANEBERRY,Ell.,FACU,UPL,8,1,Forb,Perennial,Native,RANUNCULACEAE,Buttercup Family
ACTRUB,Actaea rubra,Actaea rubra,Red Baneberry,RED BANEBERRY,(Ait.) Willd.,FACU,FACU,10,1,Forb,Perennial,Native,RANUNCULACEAE,Buttercup Family
ACTRUBA,Actaea rubra ssp. arguta,Actaea rubra,Red Baneberry,RED BANEBERRY,(Nutt.) Hultén,FACU,FACU,10,1,Forb,Perennial,Native,RANUNCULACEAE,Buttercup Family
ACTRUBR,Actaea rubra ssp. rubra,Actaea rubra,Red Baneberry,RED BANEBERRY,(Ait.) Willd.,FACU,FACU,10,1,Forb,Perennial,Native,RANUNCULACEAE,Buttercup Family
ADIPED,Adiantum pedatum,Adiantum pedatum,Northern Maidenhair,MAIDENHAIR FERN,L.,FACU,FACU,10,1,Fern,Perennial,Native,PTERIDACEAE,Maidenhair Family
ADLFUN,Adlumia fungosa,Adlumia fungosa,Climbing Fumitory,ALLEGHENY VINE,(Ait.) E. Greene,UPL,UPL,5,2,Forb,Biennial,Native,FUMARIACEAE,Fumitory Family
AEGCYL,Aegilops cylindrica,AEGILOPS CYLINDRICA,Jointed Goat Grass,JOINTED GOAT GRASS,Host,UPL,UPL,0,2,Grass,Annual,Adventive,POACEAE,Grass Family
AEGPOD,Aegopodium podagraria,AEGOPODIUM PODAGRARIA,Bishop's Goutweed,GOUTWEED,L.,FAC,FAC,0,0,Forb,Perennial,Adventive,APIACEAE,Carrot Family
AESGLA,Aesculus glabra,Aesculus glabra,Ohio Buckeye,OHIO BUCKEYE,Willd.,FAC,FAC,7,0,Tree,Perennial,Native,HIPPOCASTANACEAE,Horse Chestnut Family
AESHIP,Aesculus hippocastanum,AESCULUS HIPPOCASTANUM,Horse Chestnut,HORSE CHESTNUT,L.,UPL,UPL,0,2,Tree,Perennial,Adventive,HIPPOCASTANACEAE,Horse Chestnut Family
AESPAR,Aesculus parviflora,Aesculus parviflora,Bottlebrush Buckeye,BOTTLEBRUSH BUCKEYE,Walter,UPL,UPL,0,2,Tree,Perennial,Adventive,HIPPOCASTANACEAE,Horse Chestnut Family
AESCAR,Aesculus X carnea,Aesculus X carnea,Red Horse Buckeye,RED HORSE BUCKEYE,Hayne,UPL,UPL,0,2,Tree,Perennial,Adventive,HIPPOCASTANACEAE,Horse Chestnut Family
AETCYN,Aethusa cynapium,AETHUSA CYNAPIUM,Fool’s Parsley,FOOL'S PARSLEY,L.,UPL,UPL,0,2,Forb,Annual,Adventive,APIACEAE,Carrot Family
AGAASP,Agalinis aspera,Agalinis aspera,Tall False Foxglove,ROUGH FALSE FOXGLOVE,(Dougl. ex Benth.) Britt.,FACU,FACU,10,1,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGAAUR,Agalinis auriculata,Tomanthera auriculata,Auriculate False Foxglove,EARED FALSE FOXGLOVE,(Michx.) S.F. Blake,UPL,UPL,8,2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
TOMAUR,Agalinis auriculata,Tomanthera auriculata,Auriculate False Foxglove,EARED FALSE FOXGLOVE,(Michx.) S.F. Blake,UPL,UPL,8,2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGAGAT,Agalinis gattingeri,Agalinis gattingeri,Gattinger’s False Foxglove,ROUND-STEMMED FALSE FOXGLOVE,(Small) Small,UPL,UPL,10,2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGAPAU,Agalinis paupercula,Agalinis paupercula,Small-Flower False Foxglove,PAUPER FALSE FOXGLOVE,Pennell,OBL,OBL,9,-2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGAPAUB,Agalinis paupercula var. borealis,Agalinis purpurea parviflora,Small-Flower False Foxglove,PAUPER FALSE FOXGLOVE,Pennell,OBL,OBL,9,-2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGAPURP,Agalinis paupercula var. borealis,Agalinis purpurea parviflora,Small-Flower False Foxglove,PAUPER FALSE FOXGLOVE,Pennell,OBL,OBL,9,-2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGAPAUP,Agalinis paupercula var. paupercula,Agalinis paupercula,Small-Flower False Foxglove,PAUPER FALSE FOXGLOVE,Pennell,OBL,OBL,9,-2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGAPUR,Agalinis purpurea,Agalinis purpurea,Purple False Foxglove,PURPLE FALSE FOXGLOVE,(L.) Pennell,FACW,FACW,6,-1,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGASKI,Agalinis skinneriana,Agalinis skinneriana,Skinner's False Foxglove,PALE FALSE FOXGLOVE, (Wood) Britt.,UPL,FACU,10,2,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGATEN,Agalinis tenuifolia,Agalinis tenuifolia,Slender-Leaf False Foxglove,SLENDER FALSE FOXGLOVE,(Vahl) Raf.,FACW,FACW,3,-1,Forb,Annual,Native,SCROPHULARIACEAE,Figwort Family
AGAFOE,Agastache foeniculum,Agastache foeniculum,Blue Giant-Hyssop,BLUE GIANT HYSSOP,(Pursh) Kuntze,UPL,UPL,0,2,Forb,Perennial,Native,LAMIACEAE,Mint Family
AGANEP,Agastache nepetoides,Agastache nepetoides,Yellow Giant-Hyssop,YELLOW GIANT HYSSOP,(L.) Kuntze,FACU,FACU,5,1,Forb,Perennial,Native,LAMIACEAE,Mint Family
AGASCR,Agastache scrophulariaefolia ,Agastache scrophulariaefolia,Purple Giant Hyssop,PURPLE GIANT HYSSOP,(Willd.) Ktze. ,UPL,UPL,5,2,Forb,Perennial,Native,LAMIACEAE,Mint Family
AGEALT,Ageratina altissima,Eupatorium rugosum,White Snakeroot,WHITE SNAKEROOT,(L.) King & H.E. Robins.,FACU,FACU,3,1,Forb,Perennial,Native,ASTERACEAE,Aster Family
EUPRUG,Ageratina altissima,Eupatorium rugosum,White Snakeroot,WHITE SNAKEROOT,(L.) King & H.E. Robins.,FACU,FACU,3,1,Forb,Perennial,Native,ASTERACEAE,Aster Family
AGRGRY,Agrimonia gryposepala,Agrimonia gryposepala,Tall Hairy Grooveburr,TALL AGRIMONY,Wallr.,FACU,FACU,2,1,Forb,Perennial,Native,ROSACEAE,Rose Family
AGRPAR,Agrimonia parviflora,Agrimonia parviflora,Harvestlice,SWAMP AGRIMONY,Ait.,FACW,FAC,4,-1,Forb,Perennial,Native,ROSACEAE,Rose Family
AGRPUB,Agrimonia pubescens ,Agrimonia pubescens,Soft Grooveburr,SOFT AGRIMONY,Wallr.,UPL,UPL,6,2,Forb,Perennial,Native,ROSACEAE,Rose Family
AGRROS,Agrimonia rostellata,Agrimonia rostellata,Beaked Grooveburr,BEAKED AGRIMONY,Wallr.,FACU,FACU,8,1,Forb,Perennial,Native,ROSACEAE,Rose Family
AGRSTR,Agrimonia striata,Agrimonia striata,Woodland Grooveburr,GROOVED AGRIMONY,Michx.,FACU,FACU,3,1,Forb,Perennial,Native,ROSACEAE,Rose Family
AGRCRI,Agropyron cristatum,AGROPYRON CRISTATUM,Crested Wheat Grass,CRESTED WHEAT GRASS, (L.) Gaertn.,UPL,UPL,0,2,Grass,Perennial,Adventive,POACEAE,Grass Family
AGRDES,Agropyron desertorum,AGROPYRON DESERTORUM,Wheat Grass,RUSSIAN WHEAT GRASS,(Fisch.) Schult,UPL,UPL,0,2,Grass,Perennial,Adventive,POACEAE,Grass Family
AGRGIT,Agrostemma githago,AGROSTEMMA GITHAGO,Corn Cockle,CORN COCKLE,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,CARYOPHYLLACEAE,Pink Family
AGRCAP,Agrostis capillaris,AGROSTIS TENUIS,Rhode Island Bent,RHODE ISLAND BENT,L.,UPL,UPL,0,2,Grass,Perennial,Adventive,POACEAE,Grass Family
AGRTEN,Agrostis capillaris,AGROSTIS TENUIS,Rhode Island Bent,RHODE ISLAND BENT,L.,UPL,UPL,0,2,Grass,Perennial,Adventive,POACEAE,Grass Family
AGRALB,Agrostis gigantea,AGROSTIS ALBA,Black Bent,REDTOP,Roth,FACW,FACW,0,-1,Grass,Perennial,Adventive,POACEAE,Grass Family
AGRGIG,Agrostis gigantea,AGROSTIS ALBA,Black Bent,REDTOP,Roth,FACW,FACW,0,-1,Grass,Perennial,Adventive,POACEAE,Grass Family
AGRHYE,Agrostis hyemalis,Agrostis hyemalis,Winter Bent,TICKLE GRASS,(Walt.) B.S.P.,FAC,FAC,3,0,Grass,Perennial,Native,POACEAE,Grass Family
AGRPER,Agrostis perennans,Agrostis perennans,Upland Bent,THIN GRASS,(Walt.) Tuckerman,FAC,FACU,5,0,Grass,Perennial,Native,POACEAE,Grass Family
AGRPERA,Agrostis perennans,Agrostis perennans var. aestivalis,Upland Bent,SAVANNA THIN GRASS,(Walt.) Tuckerman,FAC,FACU,5,0,Grass,Perennial,Native,POACEAE,Grass Family
AGRSCA,Agrostis scabra,Agrostis scabra,Rough Bent,FLY-AWAY GRASS,Willd.,FAC,FAC,8,0,Grass,Perennial,Native,POACEAE,Grass Family
AGRALBP,Agrostis stolonifera,Agrostis alba palustris,Spreading Bent,BENT GRASS,L.,FACW,FACW,2,-1,Grass,Perennial,Native,POACEAE,Grass Family
AGRSTO,Agrostis stolonifera,Agrostis alba palustris,Spreading Bent,BENT GRASS,L.,FACW,FACW,2,-1,Grass,Perennial,Native,POACEAE,Grass Family
AILALT,Ailanthus altissima,AILANTHUS ALTISSIMA,Tree-of-Heaven,TREE OF HEAVEN,(P. Mill.) Swingle,FACU,UPL,0,1,Tree,Perennial,Adventive,SIMAROUBACEAE,Simarouba Family
AIRCAR,Aira caryophyllea,AIRA CARYOPHYLLEA,Common Silver-Hair Grass,HAIR GRASS,L.,FACU,UPL,0,1,Grass,Annual,Adventive,POACEAE,Grass Family
AJUGEN,Ajuga genevensis ,AJUGA GENEVENSIS,Geneva Bugleweed,GENEVA BUGLE,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LAMIACEAE,Mint Family
AJUREP,Ajuga reptans,AJUGA REPTANS,Carpet Bugleweed,CARPET BUGLE,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LAMIACEAE,Mint Family
AKEQUI,Akebia quinata,Akebia quinata,Akebia,CHOCOLATE VINE,Decne.,UPL,UPL,0,2,Vine,Perennial,Adventive,LARDIZABALACEAE,Lardizabala Family
ALCROS,Alcea rosea,ALTHAEA ROSEA,Hollyhock,HOLLYHOCK,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,MALVACEAE,Mallow Family
ALTROS,Alcea rosea,ALTHAEA ROSEA,Hollyhock,HOLLYHOCK,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,MALVACEAE,Mallow Family
ALEFAR,Aletris farinosa,Aletris farinosa,White Colicroot,COLIC ROOT,L.,FAC,FAC,9,0,Forb,Perennial,Native,LILIACEAE,Lily Family
ALISUB,Alisma subcordatum,Alisma subcordatum,American Water-Plantain,COMMON WATER PLANTAIN,Raf.,OBL,OBL,3,-2,Forb,Perennial,Native,ALISMATACEAE,Water Plantain Family
ALITRI,Alisma triviale,Alisma triviale,Northern Water-Plantain,LARGE-FLOWERED WATER PLANTAIN,Pursh,OBL,OBL,3,-2,Forb,Perennial,Native,ALISMATACEAE,Water Plantain Family
ALLPET,Alliaria petiolata,ALLIARIA PETIOLATA,Garlic-Mustard,GARLIC MUSTARD,(Bieb.) Cavara & Grande,FAC,FACU,0,0,Forb,Biennial,Adventive,BRASSICACEAE,Mustard Family
ALLAFL,Allium aflatunense,ALLIUM AFLATUNENSE,Ornamental Onion,ORNAMENTAL ONION,B. Fedtsch.,UPL,UPL,0,2,Forb,Perennial,Native,LILIACEAE,Lily Family
ALLBUR,Allium burdickii ,Allium tricoccum burdickii,Burdick's Leek,BURDICK'S LEEK,(Hanes) A. G. Jones,UPL,UPL,7,2,Forb,Perennial,Native,LILIACEAE,Lily Family
ALLTRIB,Allium burdickii ,Allium tricoccum burdickii,Burdick's Leek,BURDICK'S LEEK,(Hanes) A. G. Jones,UPL,UPL,7,2,Forb,Perennial,Native,LILIACEAE,Lily Family
ALLCAN,Allium canadense,Allium canadense,Meadow Garlic,WILD ONION,L.,FACU,FACU,3,1,Forb,Perennial,Native,LILIACEAE,Lily Family
ALLCANC,Allium canadense var. canadense,Allium canadense,Meadow Garlic,WILD ONION,L.,FACU,FACU,3,1,Forb,Perennial,Native,LILIACEAE,Lily Family
ALLCANL,Allium canadense var. lavandulare,Allium canadense var. lavandulare,Meadow Garlic,GLADE ONION,(Bates) Ownbey & Aase,FACU,FACU,9,1,Forb,Perennial,Native,LILIACEAE,Lily Family
ALLCEP,Allium cepa,ALLIUM CEPA,Onion,ONION,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
ALLCER,Allium cernuum,Allium cernuum,Nodding Onion,NODDING WILD ONION,Roth,FACU,FACU,7,1,Forb,Perennial,Native,LILIACEAE,Lily Family
ALLFIS,Allium ﬁstulosum,ALLIUM FISTULOSUM,Spring Onion,WELSH ONION,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
ALLMUT,Allium mutabile,ALLIUM MUTABILE,Wild Onion,GLADE ONION,Michx. ,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
ALLSAT,Allium sativum,ALLIUM SATIVUM,Garlic,GARLIC,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
ALLSCH,Allium schoenoprasum,ALLIUM SCHOENOPRASUM,Wild Chives,CHIVES,L.,FAC,FACU,0,0,Forb,Perennial,Adventive,LILIACEAE,Lily Family
ALLSEN,Allium senescens,ALLIUM SENESCENS,German Garlic,GERMAN GARLIC,L.,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
ALLSTE,Allium stellatum,Allium stellatum,Cliff Onion,PRAIRIE ONION,Ker. ,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
ALLTRI,Allium tricoccum,Allium tricoccum,Ramp,WILD LEEK,Ait.,FACU,FACU,9,1,Forb,Perennial,Native,LILIACEAE,Lily Family
ALLTUB,Allium tuberosum,Allium tuberosum,Chinese Chives,CHINESE CHIVES,Spreng.,UPL,UPL,0,2,Forb,Perennial,Adventive,LILIACEAE,Lily Family
ALLVIN,Allium vineale,ALLIUM VINEALE,Crow Garlic,FIELD GARLIC,L.,FACU,FACU,0,1,Forb,Perennial,Adventive,LILIACEAE,Lily Family
ALNGLU,Alnus glutinosa,ALNUS GLUTINOSA,European Alder,EUROPEAN ALDER,(L.) Gaertn.,FACW,FACW,0,-1,Tree,Perennial,Adventive,BETULACEAE,Birch Family
ALNINC,Alnus incana,Alnus rugosa,Speckled Alder,SPECKLED ALDER,(L.) Moench,FACW,FACW,8,-1,Shrub,Perennial,Native,BETULACEAE,Birch Family
ALNRUG,Alnus incana,Alnus rugosa,Speckled Alder,SPECKLED ALDER,(L.) Moench,FACW,FACW,8,-1,Shrub,Perennial,Native,BETULACEAE,Birch Family
ALNSER,Alnus serrulata,Alnus serrulata,Brookside Alder,SMOOTH ALDER,(Ait.) Willd.,OBL,OBL,8,-2,Shrub,Perennial,Native,BETULACEAE,Birch Family
ALOAEQ,Alopecurus aequalis,Alopecurus aequalis,Short-Awn Meadow-Foxtail,SHORT-AWNED FOXTAIL,Sobol.,OBL,OBL,6,-2,Grass,Perennial,Native,POACEAE,Grass Family
ALOCAR,Alopecurus carolinianus,Alopecurus carolinianus,Tufted Meadow-Foxtail,ANNUAL FOXTAIL,Walt.,FACW,FACW,0,-1,Grass,Annual,Native,POACEAE,Grass Family
ALOGEN,Alopecurus geniculatus,ALOPECURUS GENICULATUS,Marsh Meadow-Foxtail,MARSH FOXTAIL,L.,OBL,OBL,0,-2,Grass,Perennial,Adventive,POACEAE,Grass Family
ALOPRA,Alopecurus pratensis,ALOPECURUS PRATENSIS,Field Meadow-Foxtail,MEADOW FOXTAIL,L.,FACW,FAC,0,-1,Grass,Perennial,Adventive,POACEAE,Grass Family
ALTOFF,Althaea officinalis,ALTHAEA OFFICINALIS,Common Marsh-Mallow,MARSH MALLOW,L.,FACW,FACW,0,-1,Forb,Perennial,Adventive,MALVACEAE,Mallow Family
ALYALY,Alyssum alyssoides ,ALYSSUM ALYSSOIDES,Pale Alyssum,PALE ALYSSUM,(L.) L.,UPL,UPL,0,2,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMAALB,Amaranthus albus,AMARANTHUS ALBUS,Tumbleweed,TUMBLEWEED,L.,FACU,FACU,0,1,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMAARE,Amaranthus arenicola,AMARANTHUS ARENICOLA,Sandhill Amaranth,SANDHILL AMARANTH,I.M. Johnston,FACU,FACU,0,1,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMABLO,Amaranthus blitoides,AMARANTHUS GRAECIZANS,Mat Amaranth,CREEPING AMARANTH,S. Wats.,FACU,FACU,0,1,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMAGRA,Amaranthus blitoides,AMARANTHUS GRAECIZANS,Mat Amaranth,CREEPING AMARANTH,S. Wats.,FACU,FACU,0,1,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMABLU,Amaranthus blitum,AMARANTHUS BLITUM,Purple Amaranth,LIVID AMARANTH,L.,FAC,FAC,0,0,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMACAU,Amaranthus caudatus,Amaranthus caudatus,Love-Lies-Bleeding,LOVE-LIES-BLEEDING,L.,UPL,UPL,0,2,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMACRU,Amaranthus cruentus,AMARANTHUS CRUENTUS,Purple Amaranth,PURPLE AMARANTH,L.,UPL,UPL,0,2,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMAHYB,Amaranthus hybridus,Amaranthus hybridus,Green Pigweed,GREEN AMARANTH,L.,UPL,UPL,0,2,Forb,Annual,Native,AMARANTHACEAE,Pigweed Family
AMAHYP,Amaranthus hypochondriacus,Amaranthus hypochondriacus,Prince’s Feather,PRINCE OF WALES,L.,UPL,UPL,0,2,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMAPAL,Amaranthus palmeri,AMARANTHUS PALMERI,Careless Weed,CARELESS WEED,S. Wats.,FACU,FACU,0,1,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMAPOW,Amaranthus powellii,AMARANTHUS POWELLII,Tall Amaranth,TALL AMARANTH,S. Wats.,UPL,UPL,0,2,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMARET,Amaranthus retroflexus,AMARANTHUS RETROFLEXUS,Red-Root,ROUGH AMARANTH,L.,FACU,FACU,0,1,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
ACNTAM,Amaranthus rudis,ACNIDA TAMARISCINA,Water Hemp,WESTERN WATER HEMP,J. Sauer.,UPL,UPL,0,2,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMARUD,Amaranthus rudis,ACNIDA TAMARISCINA,Water Hemp,WESTERN WATER HEMP,J. Sauer.,UPL,UPL,0,2,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
AMASPI,Amaranthus spinosus,AMARANTHUS SPINOSUS,Spiny Amaranth,THORNY AMARANTH,L.,FACU,FACU,0,1,Forb,Annual,Adventive,AMARANTHACEAE,Pigweed Family
ACNALT,Amaranthus tuberculatus,Acnida altissima,Rough-Fruit Amaranth,WATER HEMP,(Moq.) Sauer,OBL,OBL,1,-2,Forb,Annual,Native,AMARANTHACEAE,Pigweed Family
AMATUB,Amaranthus tuberculatus,Acnida altissima,Rough-Fruit Amaranth,WATER HEMP,(Moq.) Sauer,OBL,OBL,1,-2,Forb,Annual,Native,AMARANTHACEAE,Pigweed Family
AMBMOS,Amberboa moschata,CENTAUREA MOSCHATA,Sweet Sultan,SWEET SULTAN,(L.) DC.,UPL,UPL,0,2,Forb,Annual,Adventive,ASTERACEAE,Aster Family
CENMOS,Amberboa moschata,CENTAUREA MOSCHATA,Sweet Sultan,SWEET SULTAN,(L.) DC.,UPL,UPL,0,2,Forb,Annual,Adventive,ASTERACEAE,Aster Family
AMBART,Ambrosia artemisiifolia,Ambrosia artemisiifolia elatior,Annual Ragweed,COMMON RAGWEED,L.,FACU,FACU,0,1,Forb,Annual,Native,ASTERACEAE,Aster Family
AMBARTE,Ambrosia artemisiifolia,Ambrosia artemisiifolia elatior,Annual Ragweed,COMMON RAGWEED,L.,FACU,FACU,0,1,Forb,Annual,Native,ASTERACEAE,Aster Family
AMBPSI,Ambrosia psilostachya,AMBROSIA PSILOSTACHYA CORONOPIFOLIA,Perennial Ragweed,WESTERN RAGWEED,DC.,FACU,FAC,0,1,Forb,Perennial,Adventive,ASTERACEAE,Aster Family
