Taxa Name,Nativity,Duration,FL Wetland Status,C of C Value
Coelorachis tuberculosa,Native,Perennial,FACW,9.03
Colocasia esculenta,Exotic,Perennial,OBL,0
Commelina diffusa,Exotic,Perennial,FACW,2.02
Commelina erecta,Native,Perennial,Upland,2
Commelina virginica,Native,Perennial,FACW,4.67
Conoclinium coelestinum,Native,Perennial,FAC,4.37
Conyza canadensis,Native,Annual,Not listed,1.01
Coreopsis gladiata,Native,Perennial,FACW,4
Coreopsis leavenworthii,Native,Perennial,FACW,3.43
Coreopsis tinctoria,Native,Annual/Perennial,Not listed,0.9
Cornus foemina,Native,Perennial,FACW,5.91
Cortaderia selloana,Exotic,Perennial,Not listed,0
Crinum americanum,Native,Perennial,OBL,9
Crotalaria pallida,Exotic,Perennial,Not listed,0
Crotalaria spectabilis,Exotic,Annual,Not listed,0
Cupaniopsis anacardioides,Exotic,Perennial,FAC,0
Cuphea carthagenensis,Exotic,Annual/Perennial,FAC,1.92
Cynodon dactylon,Exotic,Perennial,Not listed,0.29
Cyperus alopecuroides,Exotic,Perennial,FACW,0
Cyperus alternifolius,Exotic,Perennial,OBL,0
Cyperus articulatus,Native,Perennial,OBL,6.64
Cyperus brevifolius,Native,Perennial,FACW,1.42
Cyperus compressus,Native,Annual/Perennial,FACW,2.74
Cyperus croceus (syn. Cyperus globulosus),Native,Annual/Perennial,FAC,1.3
Cyperus difformis,Exotic,Annual,OBL,0
Cyperus distinctus,Native,Perennial,OBL,5
Cyperus drummondii,Native,Perennial,OBL,4.67
Cyperus entrerianus,Exotic,Perennial,OBL,1.5
Cyperus erythrorhizos,Native,Annual/Perennial,OBL,2.89
Cyperus esculentus,Exotic,Perennial,FAC,0
Cyperus flavescens,Native,Annual,OBL,2.17
Cyperus flavicomus (syn. Cyperus albomarginatus),Native,Annual,FACW,1.17
Cyperus haspan,Native,Perennial,OBL,4
Cyperus involucratus,Exotic,Perennial,FACW,0
Cyperus iria,Exotic,Annual,FACW,1.69
Cyperus lanceolatus,Exotic,Perennial,OBL,2.04
Cyperus lecontei,Native,Perennial,FACW,2.33
Cyperus ligularis,Native,Perennial,FACW,1.55
Cyperus odoratus,Native,Annual/Perennial,FACW,3
Cyperus papyrus,Exotic,Perennial,OBL,0.31
Cyperus polystachyos,Native,Perennial,FACW,1.56
Cyperus prolifer,Exotic,Perennial,FACW,0
Cyperus retrorsus,Native,Perennial,FAC,1.79
Cyperus rotundus,Exotic,Perennial,FAC,0
Cyperus sphacelatus,Exotic,Annual,FACW,0.43
Cyperus strigosus,Native,Perennial,FACW,4.49
Cyperus surinamensis,Native,Perennial,FACW,2.03
Cyperus virens,Native,Perennial,FACW,5.7
Cyrilla racemiflora,Native,Perennial,FAC,5
Dactyloctenium aegyptium,Exotic,Annual,Not listed,0.67
Decodon verticillatus,Native,Perennial,OBL,6
Desmodium incanum,Native,Perennial,Not listed,none
Desmodium triflorum,Exotic,Perennial,Not listed,0.43
Dichanthelium commutatum,Native,Perennial,FAC,6
Dichanthelium ensifolium (syn. Panicum chamaelonche),Native,Perennial,OBL,7.69
Dichanthelium erectifolium (syn. Panicum erectifolium),Native,Perennial,OBL,6
Dichanthelium laxiflorum,Native,Perennial,Not listed,6.79
Dichondra carolinensis,Native,Perennial,FAC,1.75
Dichromena colorata,Native,Perennial,FACW,6.18
Dichromena latifolia,Native,Perennial,OBL,6.62
Digitaria bicornis,Exotic,Perennial,Not listed,0
Digitaria ciliaris,Native,Annual,Not listed,1.3
Digitaria serotina,Native,Annual,FAC,1.39
Diodia virginiana,Native,Perennial,FACW,3
Dioscorea bulbifera,Exotic,Perennial,Not listed,0
Diospyros virginiana,Native,Perennial,FAC,3
Drosera brevifolia,Native,Perennial,FACW,8.21
Drosera capillaris,Native,Annual/Perennial,FACW,3
Drosera filiformis,Native,Perennial,OBL,7
Drosera intermedia,Native,Perennial,OBL,8.23
Drymaria cordata,Native,Annual,FAC,2.72
Dryopteris ludoviciana,Native,Perennial,FACW,7
Dulichium arundinaceum,Native,Perennial,OBL,7.31
Echinochloa colona,Exotic,Annual,FACW,0.24
Echinochloa crusgalli,Exotic,Annual,FACW,0.22
Echinochloa muricata,Native,Annual,FACW,6.01
Echinochloa walteri,Native,Annual,FACW,2.5
Echinodorus cordifolius,Native,Perennial,OBL,none
Eclipta prostrata (syn. Eclipta alba),Native,Annual/Perennial,FACW,2
Egeria densa,Exotic,Perennial,OBL,0.49
Eichhornia crassipes,Exotic,Perennial,OBL,0
Eleocharis (submersed viviparous but unable to ID to species),Native,Annual/Perennial,OBL,3
Eleocharis acicularis,Native,Annual/Perennial,OBL,3.4
Eleocharis atropurpurea,Native,Annual,OBL,5.69
Eleocharis baldwinii,Native,Perennial,OBL,2.82
Eleocharis cellulosa,Native,Perennial,OBL,7.8
Eleocharis elongata,Native,Perennial,OBL,6.97
Eleocharis equisetoides,Native,Perennial,OBL,8
Eleocharis flavescens,Native,Perennial,OBL,2.1
Eleocharis geniculata,Native,Annual,OBL,2.5
Eleocharis interstincta,Native,Perennial,OBL,7.8
Eleocharis melanocarpa,Native,Perennial,OBL,1.83
Eleocharis microcarpa,Native,Annual,OBL,5.78
Eleocharis montana,Native,Perennial,OBL,3.17
Eleocharis montevidensis,Native,Perennial,OBL,5.2
Eleocharis obtusa,Native,Annual/Perennial,OBL,3.36
Eleocharis olivacea,Native,Perennial,OBL,1.4
Eleocharis quadrangulata,Native,Perennial,OBL,2.5
Eleocharis robbinsii,Native,Perennial,OBL,8
Eleocharis tuberculosa,Native,Perennial,OBL,none
Eleocharis vivipara,Native,Annual,OBL,3
Elephantopus elatus,Native,Perennial,Not listed,2.72
Eleusine indica,Exotic,Annual,Not listed,0
Emilia fosbergii,Exotic,Annual,Upland,none
Equisetum hyemale var. affine,Native,Perennial,FACW,5.5
Eragrostis atrovirens,Exotic,Perennial,FAC,1.58
Eragrostis elliottii,Native,Perennial,FAC,4.14
Eragrostis spectabilis,Native,Perennial,FAC,3.44
Erechtites hieraciifolius,Native,Annual,FAC,1
Erigeron quercifolius,Native,Annual,FAC,3.31
Erigeron vernus,Native,Perennial,FACW,none
Eriocaulon compressum,Native,Perennial,OBL,7.5
Eriocaulon decangulare,Native,Perennial,OBL,8.31
Eriocaulon lineare,Native,Perennial,OBL,6
Eriocaulon ravenelii,Native,Annual/Perennial,OBL,5.9
Eriocaulon texense,Native,Perennial,OBL,8
Eriochloa michauxii,Native,Annual/Perennial,FACW,none
Eryngium prostratum,Native,Perennial,FACW,none
Eupatorium capillifolium,Native,Perennial,FAC,0.83
Eupatorium compositifolium,Native,Perennial,FAC,2.72
Eupatorium fistulosum,Native,Perennial,FACW,5
Eupatorium leptophyllum,Native,Perennial,OBL,3.5
Eupatorium mikanioides,Native,Perennial,FACW,5.08
Eupatorium mohrii (syn. Eupatorium recurvans),Native,Perennial,FAC,6.87
Eupatorium perfoliatum,Native,Perennial,FACW,5.85
Eupatorium serotinum,Native,Perennial,FAC,3.43
Euphorbia cyathophora (syn. Poinsettia cyathophora),Native,Annual/Perennial,Not listed,1.57
Eustachys petraea,Native,Perennial,FAC,1.93
"Euthamia caroliniana (syn. Euthamia minor, E. tenuifolia tenuifolia)",Native,Perennial,FAC,2.45
Euthamia tenuifolia,Native,Perennial,FAC,3.25
Fatsia japonica,Exotic,Perennial,Not listed,0
Ficus aurea,Native,Perennial,FAC,3.38
Ficus microcarpa,Exotic,Perennial,Not listed,0
Fimbristylis autumnalis,Native,Annual,OBL,2.17
Fimbristylis caroliniana,Native,Perennial,OBL,5
Fimbristylis castanea,Native,Perennial,OBL,4.92
Fimbristylis cymosa (syn. Fimbristylis spathacea),Native,Perennial,FAC,1
Fimbristylis dichotoma,Native,Annual/Perennial,OBL,3.55
Fimbristylis miliacea,Exotic,Annual,OBL,1.95
Fimbristylis schoenoides,Exotic,Perennial,OBL,1.83
Fontinalis,Native,N/A (non-vascular),Not listed,TBD
Fraxinus americana,Native,Perennial,Upland,5.27
Fraxinus caroliniana,Native,Perennial,OBL,5.21
Fraxinus profunda,Native,Perennial,OBL,6
Froelichia floridana,Native,Annual,Not listed,3.21
Fuirena breviseta,Native,Perennial,OBL,3.5
Fuirena pumila,Native,Annual,OBL,4
Fuirena scirpoidea,Native,Perennial,OBL,5.5
Fuirena squarrosa,Native,Perennial,OBL,5.5
Galactia elliottii,Native,Perennial,Upland,none
Galium pilosum,Native,Perennial,Not listed,4.77
Galium tinctorium,Native,Perennial,FACW,5.08
Galium uniflorum,Native,Perennial,Not listed,5.8
Gaylussacia dumosa,Native,Perennial,FAC,5.44
Gelsemium sempervirens,Native,Perennial,Not listed,3.9
Gleditsia aquatica,Native,Perennial,OBL,7.09
Gleditsia triacanthos,Native,Perennial,FACW,3.83
Gomphrena serrata,Exotic,Annual/Perennial,Not listed,0.87
Gordonia lasianthus,Native,Perennial,FACW,7
Gratiola pilosa,Native,Perennial,FACW,6.63
Gratiola ramosa,Native,Perennial,FACW,6.87
Habenaria repens,Native,Perennial,FACW,3.5
Hedychium coronarium,Exotic,Perennial,FACW only in the Keys,none
Hedyotis corymbosa,Exotic,Annual/Perennial,FACW,2.31
Helenium autumnale,Native,Perennial,FACW,3.31
Helianthus angustifolius,Native,Perennial,FACW,3
Helianthus floridanus,Native,Perennial,FAC,5.85
Heliotropium polyphyllum,Native,Perennial,FAC,1.67
Hibiscus coccineus,Native,Perennial,OBL,5.45
Hibiscus furcellatus,Native,Perennial,Not listed,3.89
Hibiscus grandiflorus,Native,Perennial,OBL,6
Hibiscus laevis,Native,Perennial,OBL,none
Hibiscus moscheutos,Native,Perennial,OBL,4.75
Hydrilla verticillata,Exotic,Perennial,OBL,0
Hydrocotyle ranunculoides,Native,Perennial,OBL,2
Hydrocotyle umbellata,Native,Perennial,FACW,1.92
Hydrolea corymbosa,Native,Perennial,OBL,5.85
Hydrolea quadrivalvis,Native,Perennial,OBL,2
Hygrophila costata (syn. Hygrophila lacustris),Native,Perennial,OBL,3
Hygrophila polysperma,Exotic,Perennial,OBL,0
Hymenachne amplexicaulis,Exotic,Perennial,OBL,0
Hypericum brachyphyllum,Native,Perennial,FACW,7.55
Hypericum chapmanii,Native,Perennial,OBL,5.8
Hypericum cistifolium,Native,Perennial,FACW,6.32
Hypericum fasciculatum,Native,Perennial,OBL,8
Hypericum galioides,Native,Perennial,FACW,5.13
Hypericum gymnanthum,Native,Perennial,FACW,4.75
Hypericum hypericoides,Native,Perennial,FAC,5.44
Hypericum lissophloeus,Native,Perennial,OBL,9
Hypericum mutilum,Native,Annual/Perennial,FACW,4.04
Hypericum myrtifolium,Native,Perennial,FACW,6.56
Hypericum nitidum,Native,Perennial,OBL,6.5
Hypericum reductum,Native,Perennial,Upland,5
Hypericum tetrapetalum,Native,Perennial,FAC,6.38
Hypoxis,Native,Perennial,FACW,7.15
Hyptis alata,Native,Perennial,FACW,4.58
Ilex cassine,Native,Perennial,OBL,6
Ilex coriacea,Native,Perennial,FACW,3.1
Ilex glabra,Native,Perennial,Not listed,5.85
Ilex myrtifolia,Native,Perennial,OBL,7
Ilex opaca,Native,Perennial,FAC,4.55
Ilex verticillata,Native,Perennial,OBL,7.88
Ilex vomitoria,Native,Perennial,FAC,3
Imperata cylindrica,Exotic,Perennial,Not listed,0
Indigofera hirsuta,Exotic,Annual,Not listed,none
Ipomoea alba,Native,Annual,Not listed,2.45
Ipomoea aquatica,Exotic,Perennial,Not listed,0
Ipomoea carnea fistulosa,Exotic,Perennial,Not listed,0
Ipomoea indica,Native,Annual/Perennial,Not listed,1.23
Ipomoea quamoclit,Exotic,Annual,Not listed,0.26
Ipomoea sagittata,Native,Perennial,Not listed,6.42
Iris hexagona,Native,Perennial,OBL,6.97
Iris pseudacorus,Exotic,Perennial,OBL,0
Iris virginica,Native,Perennial,OBL,5.5
Itea virginica,Native,Perennial,OBL,7.09
Iva frutescens,Native,Perennial,OBL,5.08
Iva microcephala,Native,Annual,FACW,4.68
Juncus abortivus,Native,Perennial,OBL,2
Juncus acuminatus,Native,Perennial,OBL,2.25
Juncus canadensis,Native,Perennial,OBL,5.5
Juncus coriaceus,Native,Perennial,OBL,8.51
Juncus dichotomus,Native,Perennial,OBL,2.83
Juncus diffusissimus,Native,Perennial,OBL,3
Juncus effusus,Native,Perennial,OBL,2
Juncus elliottii,Native,Perennial,OBL,3.11
Juncus marginatus,Native,Perennial,FACW,1.5
Juncus megacephalus,Native,Perennial,OBL,3.5
Juncus polycephalus,Native,Perennial,OBL,4.96
Juncus repens,Native,Perennial,OBL,5
Juncus roemerianus,Native,Perennial,OBL,7.09
Juncus scirpoides,Native,Perennial,OBL,4.33
Juncus tenuis,Native,Perennial,FAC,2.25
Juncus trigonocarpus,Native,Perennial,OBL,4.17
Juncus validus,Native,Perennial,OBL,3.63
Juniperus virginiana (syn. Juniperus silicicola),Native,Perennial,Not listed,6.25
Justicia ovata,Native,Perennial,OBL,8.88
Kalmia latifolia,Native,Perennial,FACW,7
Kosteletzkya pentacarpos (syn. Kosteletzkya virginica),Native,Perennial,OBL,6
Kummerowia striata,Exotic,Annual,Not listed,0
Kyllinga brevifolia,Native,Perennial,FACW,1.42
Kyllinga odorata,Native,Perennial,FACW,2.17
Kyllinga pumila,Native,Annual/Perennial,FACW,1.38
Lachnanthes caroliniana,Native,Perennial,FAC,3.76
Lachnocaulon anceps,Native,Perennial,FACW,5.5
Lachnocaulon beyrichianum,Native,Perennial,FACW,9.18
Lachnocaulon engleri,Native,Perennial,OBL,1
Lachnocaulon minus,Native,Perennial,OBL,7.97
Landoltia punctata (syn. Spirodela punctata),Exotic,Perennial,OBL,0
Lechea cernua,Native,Perennial,Not listed,8.67
Leersia hexandra,Native,Perennial,OBL,5.61
Leersia oryzoides,Native,Perennial,OBL,4
Lemna,Native,Perennial,OBL,1
Lemna minor,Native,Perennial,OBL,1
Leptochloa fascicularis,Native,Annual,FACW,4.55
Leucaena leucocephala,Exotic,Perennial,Upland,0
Leucothoe axillaris,Native,Perennial,FACW,6
Leucothoe racemosa,Native,Perennial,FACW,8
Ligustrum sinense,Exotic,Perennial,Not listed,0
Limnobium spongia,Native,Perennial,OBL,2.5
Limnophila sessiliflora,Exotic,Perennial,OBL,0
Lindernia anagallidea,Native,Annual,FACW,5.57
Lindernia crustacea,Exotic,Annual/Perennial,FAC,0.27
Lindernia grandiflora,Native,Annual,FACW,3.6
Lipocarpha maculata,Native,Annual,FACW,4.55
Liquidambar styraciflua,Native,Perennial,FACW,2.5
Liriodendron tulipifera,Native,Perennial,FACW,6.67
Lobelia cardinalis,Native,Perennial,OBL,6
Lobelia glandulosa,Native,Perennial,FACW,6.03
Lobelia paludosa,Native,Perennial,FACW,8.08
Ludwigia alata,Native,Perennial,OBL,5.85
Ludwigia alternifolia,Native,Perennial,OBL,6.24
Ludwigia arcuata,Native,Perennial,OBL,3.5
Ludwigia decurrens,Native,Annual/Perennial,OBL,5.7
Ludwigia erecta,Native,Annual/Perennial,OBL,2.55
Ludwigia glandulosa,Native,Perennial,OBL,3.21
Ludwigia grandiflora ,Exotic,Perennial,OBL,0
Ludwigia hexapetala,Exotic,Perennial,OBL,0
Ludwigia lanceolata,Native,Perennial,OBL,6.15
Ludwigia leptocarpa,Native,Perennial,OBL,3
Ludwigia linearis,Native,Perennial,OBL,5.72
Ludwigia linifolia,Native,Perennial,OBL,7.04
Ludwigia maritima,Native,Perennial,FACW,5.85
Ludwigia microcarpa,Native,Perennial,OBL,4.81
Ludwigia octovalvis,Native,Perennial,OBL,2
Ludwigia palustris,Native,Perennial,OBL,4.77
Ludwigia peploides,Native,Perennial,OBL,4
Ludwigia peruviana,Exotic,Perennial,OBL,0
Ludwigia pilosa,Native,Perennial,OBL,4.5
Ludwigia polycarpa,Native,Perennial,OBL,none
Ludwigia repens,Native,Perennial,OBL,3.2
Ludwigia sphaerocarpa,Native,Perennial,OBL,2.5
Ludwigia suffruticosa,Native,Perennial,FACW,6.23
,,,,
Ludwigia virgata,Native,Perennial,FACW,6.73
Luziola bahiensis,Native,Perennial,OBL,2.67
Luziola fluitans (syn. Hydrochloa caroliniensis),Native,Perennial,OBL,4
Lycopodiella alopecuroides (syn. Lycopodium alopecuroides),Native,Perennial,FACW,5.27
Lycopodium appressum,Native,Perennial,FACW,7.89
Lycopus americanus,Native,Perennial,OBL,3.17
Lycopus amplectens,Native,Perennial,OBL,2.88
Lycopus rubellus,Native,Perennial,OBL,4
Lycopus virginicus,Native,Perennial,OBL,5
Lygodium japonicum,Exotic,Perennial,Not listed,0
Lygodium microphyllum,Exotic,Perennial,Not listed,0
Lyonia ferruginea,Native,Perennial,Not listed,8.39
Lyonia fruticosa,Native,Perennial,Not listed,5.93
Lyonia ligustrina,Native,Perennial,FAC,8.67
Lyonia lucida,Native,Perennial,FACW,6
Lyonia mariana,Native,Perennial,FACW,4.8
Lythrum alatum,Native,Perennial,OBL,3.55
Lythrum lineare,Native,Perennial,OBL,3.82
Macroptilium lathyroides,Exotic,Perennial,Not listed,0.41
Magnolia grandiflora,Native,Perennial,Not listed,4.36
Magnolia virginiana,Native,Perennial,OBL,7
Mayaca fluviatilis,Native,Perennial,OBL,8.45
Melaleuca quinquenervia,Exotic,Perennial,FAC,0
Melanthera nivea,Native,Perennial,FACW,6.07
Melia azedarach,Exotic,Perennial,Not listed,0
Melinis repens (syn. Rhynchelytrum repens),Exotic,Annual/Perennial,Not listed,0
Melochia corchorifolia,Exotic,Annual,FAC,2.24
Melothria pendula,Native,Perennial,Not listed,3.31
Micranthemum glomeratum,Native,Perennial,OBL,5.85
Micranthemum umbrosum,Native,Annual/Perennial,OBL,5.66
Micromeria brownei,Native,Perennial,OBL,6.34
Mikania scandens,Native,Perennial,Not listed,1.95
Mimosa pigra,Exotic,Perennial,FAC,0
Mitchella repens,Native,Perennial,Not listed,7.37
Mitreola petiolata,Native,Annual,FACW,5.41
Mitreola sessilifolia,Native,Annual,FACW,3.33
Mollugo verticillata,Exotic,Annual,Not listed,1.3
Morinda royoc,Native,Perennial,FACW,2.88
Muhlenbergia capillaris,Native,Perennial,OBL,5.43
Murdannia keisak,Exotic,Perennial,FAC,2.34
Murdannia nudiflora,Exotic,Annual/Perennial,FAC,1.42
Musa sapientum,Exotic,Perennial,Upland,0
Musa sapientum paradisiaca,Exotic,Perennial,Upland,0
Myrica caroliniensis,Native,Perennial,FACW,4.33
Myrica cerifera,Native,Perennial,FAC,2
Myriophyllum aquaticum,Exotic,Perennial,OBL,0.98
Myriophyllum heterophyllum,Native,Perennial,OBL,4.77
Myriophyllum laxum,Native,Perennial,OBL,7.5
Myriophyllum native,Native,Perennial,OBL,4.77
Myriophyllum pinnatum,Native,Perennial,OBL,5.85
Myriophyllum spicatum,Exotic,Perennial,OBL,0
Najas filifolia,Native,Annual,OBL,8.45
Najas gracillima,Native,Annual,OBL,3
Najas guadalupensis,Native,Annual,OBL,5.07
Najas marina,Native,Annual,OBL,7.15
Najas minor,Exotic,Annual,OBL,6
Nasturtium officinale,Exotic,Perennial,OBL,2.93
Nelumbo lutea,Native,Perennial,OBL,5.5
Nephrolepis cordifolia,Exotic,Perennial,FAC,none
Nephrolepis exaltata,Native,Perennial,FAC,3
Neyraudia reynaudiana,Exotic,Perennial,FAC,0
Nitella,Native,Perennial,OBL,6
Nuphar,Native,Perennial,OBL,3.5
Nuphar luteum (syn. Nuphar advena),Native,Perennial,OBL,3.5
Nymphaea capensis,Exotic,Perennial,OBL,0.5
Nymphaea mexicana,Native,Perennial,OBL,6.5
Nymphaea odorata,Native,Perennial,OBL,5
Nymphoides aquatica,Native,Perennial,OBL,6.09
Nymphoides cristata,Exotic,Perennial,OBL,0
Nymphoides cordata,Native,Perennial ,OBL,8
Nyssa aquatica,Native,Perennial,OBL,none
Nyssa ogeche,Native,Perennial,OBL,7
Nyssa sylvatica biflora,Native,Perennial,OBL,7
Oldenlandia uniflora (syn. Hedyotis uniflora),Native,Annual,FACW,2.5
Orontium aquaticum,Native,Perennial,OBL,8.39
Osmunda cinnamomea,Native,Perennial,FACW,6.44
Osmunda regalis,Native,Perennial,OBL,7.6
Ostrya virginiana,Native,Perennial,Upland,5.91
Oxalis corniculata,Native,Annual/Perennial,Not listed,1.37
Oxycaryum cubense (syn. Scirpus cubensis),Exotic,Perennial,OBL,0.5
Oxypolis filiformis,Native,Perennial,OBL,8.69
Packera glabella,Native,Annual,OBL,2.33
Pandanus veitchii,Exotic,Perennial,Not listed,none
Panicum abscissum,Native,Perennial,FACW,9.22
Panicum anceps,Native,Perennial,FAC,4.61
Panicum dichotomiflorum,Native,Annual,FACW,4.96
Panicum dichotomum,Native,Perennial,FACW,5.61
Panicum ensifolium,Native,Perennial,OBL,6.5
Panicum hemitomon,Native,Perennial,OBL,5.82
Panicum hians (syn. Steinchisma hians),Native,Perennial,FAC,6.63
Panicum maximum,Exotic,Perennial,Not listed,0
Panicum repens,Exotic,Perennial,FACW,0
Panicum rigidulum,Native,Perennial,FACW,5.47
